,Klub,Rezultat
0,Trabzonspor,0.4
1,Kasimpasa,-0.2
2,Konyaspor,-0.4
3,Kayserispor,0.0
4,Pendikspor,0.0
5,Sivasspor,-0.4
6,Adana Demirspor,-0.4
7,Fenerbahçe,0.6
8,Alanyaspor,0.0
9,Fatih Karagümrük,-0.6
10,Istanbulspor,-1.0
11,Antalyaspor,-0.6
12,Çaykur Rizespor,-0.4
13,Hatayspor,0.0
14,Galatasaray,0.8
15,Istanbul Basaksehir,0.4
16,Gaziantep,-0.4
17,Besiktas,0.4
18,Samsunspor,-0.6
19,Ankaragücü,-0.4
20,Bodrum,-0.4
21,Göztepe,0.4
22,Eyüpspor,-0.2
23,Kocaelispor,0.4
24,Gençlerbirligi,0.0
